positive,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,death,hospitalized,hospitalizedDischarged,totalTestEncountersViral,positiveIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,is_holiday,is_long_weekend,Ridership,hospitalizedC,sevenDayAvg_newCases,sevenDayAvg_hospitalize,sevenDayAvg_death,sevenDayAvg_testResult,date
0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,5347055.0,0,0,0,0,0,2020-03-02
1,1,0,0,0,0.0,0,0,0.0,1,1,1,1,1,0,0,0,0,5498556.0,0,0,0,0,0,2020-03-03
1,10,0,0,0,0.0,0,0,0.0,10,0,25,9,1,0,0,0,0,5515945.0,0,0,0,0,0,2020-03-04
3,30,0,0,0,0.0,0,0,0.0,30,2,27,20,3,0,0,0,0,5513656.0,0,0,0,0,0,2020-03-05
25,122,0,0,0,0.0,0,0,0.0,122,22,261,92,25,0,0,0,0,5204732.0,0,0,0,0,0,2020-03-06
36,188,0,0,0,0.0,0,0,0.0,188,11,272,66,36,0,0,0,0,2817082.0,0,0,0,0,0,2020-03-07
60,388,0,0,0,0.0,0,0,0.0,388,24,60,200,60,0,0,0,0,2122328.0,0,0,0,0,0,2020-03-08
88,695,0,0,0,0.0,0,0,0.0,695,28,88,307,88,0,0,0,0,4989635.0,0,13,0,0,99,2020-03-09
151,1096,0,0,0,0.0,0,0,0.0,1096,63,151,401,151,0,0,0,0,4883623.0,0,21,0,0,156,2020-03-10
195,1521,0,0,0,0.0,0,0,0.0,1521,44,195,425,195,0,0,0,0,4712462.0,0,28,0,0,216,2020-03-11
251,2074,0,0,0,0.0,0,0,0.0,2074,56,251,553,251,0,0,0,0,4163674.0,0,35,0,0,292,2020-03-12
353,2836,0,0,0,0.0,0,0,0.0,2836,102,353,762,353,0,0,0,0,3496765.0,0,47,0,0,388,2020-03-13
517,4126,0,0,0,0.0,0,0,0.0,4126,164,517,1290,517,0,0,0,0,1672800.0,0,69,0,0,563,2020-03-14
648,5419,0,0,0,0.0,3,0,0.0,5419,131,648,1293,648,3,0,0,0,1159079.0,0,84,0,0,719,2020-03-15
942,7355,0,0,0,0.0,7,0,0.0,7355,294,942,1936,942,4,0,0,0,2184296.0,0,122,0,1,951,2020-03-16
1374,10262,325,0,0,0.0,7,0,0.0,10262,432,1374,2907,1374,0,0,0,0,1793359.0,0,175,0,1,1309,2020-03-17
2383,14815,416,0,0,0.0,12,0,0.0,14815,1009,2383,4553,2383,5,0,0,0,1629413.0,0,313,0,2,1899,2020-03-18
4152,22513,617,0,0,0.0,12,0,0.0,22513,1769,4152,7698,4152,0,0,0,0,1425564.0,0,557,0,2,2920,2020-03-19
7102,32637,1042,0,0,0.0,35,0,0.0,32637,2950,7102,10124,7102,23,0,0,0,1312249.0,0,964,0,5,4257,2020-03-20
10356,45724,1436,1531,0,0.0,44,1531,0.0,45724,3254,10356,13087,10356,9,1531,0,0,620662.0,1531,1406,219,6,5943,2020-03-21
15168,61753,2043,2354,0,0.0,114,2354,0.0,61753,4812,15168,16029,15168,70,823,0,0,409364.0,2354,2074,336,16,8048,2020-03-22
20875,78565,2629,3125,0,0.0,114,3125,0.0,78565,5707,20875,16812,20875,0,771,0,0,711138.0,3125,2848,446,15,10173,2020-03-23
25665,91517,3343,4041,0,0.0,210,4041,0.0,91517,4790,25665,12952,25665,96,916,0,0,743314.0,4041,3470,577,29,11608,2020-03-24
30810,103659,4079,5126,0,0.0,285,5126,0.0,103659,5145,30810,12142,30810,75,1085,0,0,691604.0,5126,4061,732,39,12692,2020-03-25
37258,122310,5327,6921,1290,0.0,385,6921,0.0,122310,6448,37258,18651,37258,100,1795,0,0,681923.0,6921,4729,989,53,14257,2020-03-26
44637,138625,6481,8732,1583,0.0,519,8732,2045.0,138625,7379,44637,16315,44637,134,1811,0,0,658312.0,8732,5362,1247,69,15141,2020-03-27
52318,156069,7328,10454,1755,0.0,728,10454,2726.0,156069,7681,52318,17444,52318,209,1722,0,0,332993.0,10454,5995,1275,98,15764,2020-03-28
59513,172470,8503,12695,2037,0.0,965,12695,3572.0,172470,7195,59513,16401,59513,237,2241,0,0,264119.0,12695,6335,1477,122,15817,2020-03-29
66497,186585,9517,14578,2352,0.0,1218,14578,4204.0,186585,6984,66497,14115,66497,253,1883,0,0,546355.0,14578,6517,1636,158,15431,2020-03-30
75795,205233,10929,17085,2710,0.0,1550,17085,4975.0,205233,9298,75795,18648,75795,332,2507,0,0,509149.0,17085,7161,1863,191,16245,2020-03-31
83712,220934,12226,19929,3022,0.0,1941,19929,6142.0,220934,7917,83712,15701,83712,391,2844,0,0,514201.0,19929,7557,2115,237,16754,2020-04-01
92381,238965,13383,22786,3396,0.0,2373,22786,7434.0,238965,8669,92381,18031,92381,432,2857,0,0,486468.0,22786,7875,2266,284,16665,2020-04-02
102863,260520,14810,26210,3731,0.0,2935,26210,8886.0,260520,10482,102863,21555,102863,562,3424,0,0,484200.0,26210,8318,2497,345,17414,2020-04-03
113704,283621,15905,29471,4126,0.0,3565,29471,10478.0,283621,10841,113704,23101,113704,630,3261,0,0,282703.0,29471,8769,2717,405,18222,2020-04-04
122031,302280,16479,32293,4376,0.0,4159,32293,12187.0,302280,8327,122031,18659,122031,594,2822,0,0,227603.0,32293,8931,2800,456,18544,2020-04-05
130689,320811,16837,34377,4504,0.0,4758,34377,13366.0,320811,8658,130689,18531,130689,599,2084,0,0,446273.0,34377,9170,2828,506,19175,2020-04-06
138863,340058,17493,36932,4539,0.0,5489,36932,14590.0,340058,8174,138863,19247,138863,731,2555,0,0,435718.0,36932,9010,2835,563,19261,2020-04-07
149316,365153,18079,39982,4841,0.0,6268,39982,16353.0,365153,10453,149316,25095,149316,779,3050,0,0,428206.0,39982,9372,2865,618,20603,2020-04-08
159937,391549,18279,42852,4925,0.0,7067,42852,18297.0,391549,10621,159937,26396,159937,799,2870,0,0,405325.0,42852,9651,2867,671,21798,2020-04-09
170512,417885,18569,45768,4908,0.0,7844,45768,20249.0,417885,10575,170512,26336,170512,777,2916,0,0,400947.0,45768,9664,2794,701,22481,2020-04-10
180458,440980,18654,48297,5009,0.0,8627,48297,22025.0,440980,9946,180458,23095,180458,783,2529,0,0,257467.0,48297,9536,2689,723,22480,2020-04-11
188694,461601,18707,50919,5198,0.0,9385,50919,23887.0,461601,8236,188694,20621,188694,758,2622,0,0,198693.0,50919,9523,2661,747,22760,2020-04-12
195031,478357,18825,52936,5156,0.0,10056,52936,23887.0,478357,6337,195031,16756,195031,671,2017,0,0,363961.0,52936,9192,2651,757,22507,2020-04-13
202208,499143,18697,54653,5225,0.0,10834,54653,25589.0,499143,7177,202208,20786,202208,778,1717,0,0,430946.0,54653,9049,2532,764,22726,2020-04-14
213779,526012,18335,56968,5205,0.0,11586,56968,28004.0,526012,11571,213779,26869,213779,752,2315,0,0,419851.0,56968,9209,2427,760,22980,2020-04-15
222284,550579,17735,59052,5071,0.0,12192,59052,30800.0,550579,8505,222284,24567,222284,606,2084,0,0,421013.0,59052,8907,2314,732,22719,2020-04-16
229642,573223,17316,61120,5039,0.0,12822,61120,33392.0,573223,7358,229642,22644,229642,630,2068,0,0,433106.0,61120,8447,2193,711,22191,2020-04-17
236732,596532,16967,63103,4996,0.0,13362,63103,35458.0,596532,7090,236732,23309,236732,540,1983,0,0,254792.0,63103,8039,2115,676,22222,2020-04-18
242786,617555,16213,64550,4878,0.0,13869,64550,37596.0,617555,6054,242786,21023,242786,507,1447,0,0,224751.0,64550,7727,1947,641,22279,2020-04-19
247512,633861,16103,65969,4814,0.0,14347,65969,39085.0,633861,4726,247512,16306,247512,478,1419,0,0,438622.0,65969,7497,1862,613,22215,2020-04-20
251690,649325,16135,67271,4729,0.0,14828,67271,40482.0,649325,4178,251690,15464,251690,481,1302,0,0,422860.0,67271,7069,1803,571,21455,2020-04-21
257216,669982,15599,68773,4690,0.0,15302,68773,42308.0,669982,5526,257216,20657,257216,474,1502,0,0,459574.0,68773,6205,1686,531,20567,2020-04-22
263460,695920,15021,70182,4597,0.0,15740,70182,44244.0,695920,6244,263460,25938,263460,438,1409,0,0,454300.0,70182,5882,1590,507,20763,2020-04-23
271590,730656,14258,71373,4540,0.0,16162,71373,46156.0,730656,8130,271590,34736,271590,422,1191,0,0,444644.0,71373,5993,1465,477,22490,2020-04-24
282143,777568,13524,72444,4410,0.0,16599,72444,47935.0,777568,10553,282143,46912,282143,437,1071,0,0,295836.0,72444,6487,1334,462,25862,2020-04-25
288045,805350,12839,73540,4284,0.0,16966,73540,49687.0,805350,5902,288045,27782,288045,367,1096,0,0,219096.0,73540,6466,1284,442,26828,2020-04-26
291996,826095,12819,74602,4157,0.0,17303,74602,50751.0,826095,3951,291996,20745,291996,337,1062,0,0,463700.0,74602,6355,1233,422,27462,2020-04-27
295106,844994,12646,75362,4071,0.0,17638,75362,51673.0,844994,3110,295106,18899,295106,335,760,0,0,490073.0,75362,6202,1156,401,27953,2020-04-28
299691,872481,12159,76450,3923,0.0,18015,76450,53238.0,872481,4585,299691,27487,299691,377,1088,0,0,478589.0,76450,6068,1097,388,28928,2020-04-29
304372,900636,11598,77400,3769,0.0,18321,77400,54771.0,900636,4681,304372,28155,304372,306,950,0,0,466633.0,77400,5845,1031,369,29245,2020-04-30
308314,927438,10993,78224,3640,0.0,18610,78224,56187.0,927438,3942,308314,26802,308314,289,824,0,0,495312.0,78224,5246,979,350,28112,2020-05-01
312977,959017,10350,78942,3501,0.0,18909,78942,57540.0,959017,4663,312977,31579,312977,299,718,0,0,326354.0,78942,4405,928,330,25921,2020-05-02
316415,985911,9786,79768,3430,0.0,19189,79768,58950.0,985911,3438,316415,26894,316415,280,826,0,0,259199.0,79768,4053,890,318,25794,2020-05-03
318953,1007310,9647,80376,3330,0.0,19415,80376,58950.0,1007310,2538,318953,21399,318953,226,608,0,0,512763.0,80376,3851,825,302,25888,2020-05-04
321192,1028899,9600,80918,3281,0.0,19645,80918,58950.0,1028899,2239,321192,21589,321192,230,542,0,0,522979.0,80918,3727,794,287,26272,2020-05-05
